大樂透組別: 1, Lotto Set: [16, 20, 21, 41, 43, 44, 46]
大樂透組別: 2, Lotto Set: [10, 15, 22, 27, 37, 42, 44]
大樂透組別: 3, Lotto Set: [02, 10, 28, 32, 39, 46, 49]
大樂透組別: 4, Lotto Set: [01, 13, 18, 29, 34, 45, 49]
大樂透組別: 5, Lotto Set: [01, 13, 22, 29, 34, 46, 48]
大樂透組別: 6, Lotto Set: [19, 20, 21, 22, 27, 34, 48]
大樂透組別: 7, Lotto Set: [11, 19, 25, 38, 42, 45, 49]
大樂透組別: 8, Lotto Set: [05, 24, 32, 42, 44, 47, 49]
大樂透組別: 9, Lotto Set: [09, 21, 23, 27, 40, 43, 47]
大樂透組別: 10, Lotto Set: [01, 02, 03, 18, 27, 41, 42]
大樂透組別: 11, Lotto Set: [17, 25, 28, 29, 31, 43, 44]
大樂透組別: 12, Lotto Set: [03, 11, 15, 31, 43, 44, 49]
大樂透組別: 13, Lotto Set: [18, 22, 24, 26, 35, 41, 46]
大樂透組別: 14, Lotto Set: [06, 15, 19, 23, 38, 44, 49]
大樂透組別: 15, Lotto Set: [01, 04, 12, 15, 41, 46, 48]
大樂透組別: 16, Lotto Set: [10, 22, 31, 36, 38, 48, 49]
大樂透組別: 17, Lotto Set: [03, 22, 23, 29, 30, 38, 46]
大樂透組別: 18, Lotto Set: [05, 24, 25, 34, 36, 43, 46]
大樂透組別: 19, Lotto Set: [03, 15, 16, 35, 38, 44, 45]
大樂透組別: 20, Lotto Set: [04, 10, 28, 31, 32, 35, 41]
大樂透組別: 21, Lotto Set: [10, 14, 22, 33, 44, 45, 47]
大樂透組別: 22, Lotto Set: [10, 13, 16, 21, 31, 40, 49]
大樂透組別: 23, Lotto Set: [01, 13, 17, 18, 20, 44, 47]
大樂透組別: 24, Lotto Set: [01, 06, 08, 15, 19, 37, 44]
大樂透組別: 25, Lotto Set: [03, 05, 11, 14, 16, 26, 36]
大樂透組別: 26, Lotto Set: [03, 16, 18, 25, 31, 38, 39]
大樂透組別: 27, Lotto Set: [06, 07, 15, 19, 26, 27, 39]
大樂透組別: 28, Lotto Set: [06, 08, 19, 24, 27, 41, 49]
大樂透組別: 29, Lotto Set: [04, 08, 10, 20, 26, 35, 43]
大樂透組別: 30, Lotto Set: [02, 07, 08, 10, 13, 26, 30]
大樂透組別: 31, Lotto Set: [02, 16, 27, 30, 32, 44, 46]
大樂透組別: 32, Lotto Set: [08, 18, 26, 31, 36, 38, 47]
大樂透組別: 33, Lotto Set: [05, 21, 23, 28, 39, 41, 46]
大樂透組別: 34, Lotto Set: [03, 09, 14, 23, 28, 37, 40]
大樂透組別: 35, Lotto Set: [03, 07, 11, 18, 30, 31, 49]
大樂透組別: 36, Lotto Set: [12, 30, 31, 36, 38, 41, 44]
大樂透組別: 37, Lotto Set: [05, 11, 12, 15, 35, 45, 47]
大樂透組別: 38, Lotto Set: [01, 05, 10, 13, 16, 18, 19]
大樂透組別: 39, Lotto Set: [12, 15, 16, 23, 33, 38, 41]
大樂透組別: 40, Lotto Set: [01, 17, 18, 27, 28, 31, 49]
大樂透組別: 41, Lotto Set: [09, 12, 14, 24, 31, 34, 47]
大樂透組別: 42, Lotto Set: [06, 18, 19, 26, 30, 40, 48]
